step,gap_index,gap,log_gap
0,1,0.03263037197757512,-1.4863779753421447
0,2,0.02966338861733675,-1.5277792385487186
0,3,0.028796736150979996,-1.5406567327944114
0,4,0.028796736150979996,-1.5406567327944114
0,5,0.023350201547145844,-1.6317093664710802
0,6,0.019223615527153015,-1.7161649280190556
0,7,0.009052325040102005,-2.0432398603085256
0,8,0.008359875530004501,-2.0778001887134514
0,9,0.007215782999992371,-2.141716535793573
0,10,0.007195465266704559,-2.1429411188601817
0,11,0.006857916712760925,-2.1638077935587803
0,12,0.0056532323360443115,-2.2477031655767594
0,13,0.005519956350326538,-2.25806435648951
0,14,0.0053382739424705505,-2.272599143427745
0,15,0.004901275038719177,-2.309690926043474
0,16,0.004730433225631714,-2.3250990835992953
0,17,0.004014655947685242,-2.396351667427438
0,18,0.0036827251315116882,-2.4338306944827144
0,19,0.003335326910018921,-2.47686159255425
0,20,0.003307931125164032,-2.480443541523542
0,21,0.0032349973917007446,-2.4901260651561556
0,22,0.0032259486615657806,-2.4913425483469647
0,23,0.0030367225408554077,-2.517594886870064
0,24,0.003002658486366272,-2.5224940603820722
0,25,0.0029947832226753235,-2.5236346085344947
0,26,0.002754904329776764,-2.5598934783989358
0,27,0.002470754086971283,-2.607170477578914
0,28,0.0019800812005996704,-2.7033169995115656
0,29,0.0017970651388168335,-2.7454361805894156
0,30,0.0016409046947956085,-2.784916642424262
0,31,0.0015881843864917755,-2.7990990778615363
0,32,0.0014543421566486359,-2.83733340691355
0,33,0.0013942644000053406,-2.855654861406555
0,34,0.001255810260772705,-2.9010759727995996
0,35,0.001128651201725006,-2.9474402516716487
0,36,0.0010133907198905945,-2.9942230770719513
0,37,0.0009810887277126312,-3.0082917141149874
0,38,0.0009265132248401642,-3.0331483772796584
0,39,0.0007928460836410522,-3.100811114716831
0,40,0.0007115080952644348,-3.147820154316628
0,41,0.0006560944020748138,-3.1830336677119733
0,42,0.0006544291973114014,-3.184137332887528
0,43,0.0004357174038887024,-3.360795092664953
0,44,0.0003376556560397148,-3.471525971054819
0,45,0.00027083070017397404,-3.5673021074889557
0,46,0.00023568468168377876,-3.6276686435104533
0,47,0.00015446823090314865,-3.8111608273211686
0,48,0.00013540370855480433,-3.868369440652124
0,49,0.00012449081987142563,-3.904862672874899
0,50,0.0001179591054096818,-3.928268529754624
0,51,0.00011307827662676573,-3.946620819011571
0,52,0.00010246527381241322,-3.9894232950662913
0,53,9.821157436817884e-05,-4.007837326999006
0,54,9.661086369305849e-05,-4.014974035316687
0,55,7.955101318657398e-05,-4.09935428467188
0,56,7.912144064903259e-05,-4.101705813672895
0,57,7.450778502970934e-05,-4.127798347133526
0,58,6.971939001232386e-05,-4.15664642126716
0,59,6.624124944210052e-05,-4.178871484485674
0,60,5.8845034800469875e-05,-4.230290175976521
0,61,5.03418268635869e-05,-4.298071028311316
0,62,4.3232226744294167e-05,-4.364192394865282
0,63,3.5773380659520626e-05,-4.446440016172005
0,64,3.283808473497629e-05,-4.4836221808244465
0,65,3.22146515827626e-05,-4.491946561399798
0,66,3.1881267204880714e-05,-4.496464424755548
0,67,3.060410381294787e-05,-4.514220333524379
0,68,3.0353665351867676e-05,-4.517788858263347
0,69,3.0243070796132088e-05,-4.519374113894825
0,70,2.968998160213232e-05,-4.5273900715213315
0,71,2.758350456133485e-05,-4.5593505563270575
0,72,2.5667366571724415e-05,-4.5906186869201635
0,73,2.4477951228618622e-05,-4.611224934865564
0,74,2.3411470465362072e-05,-4.630571307579045
0,75,2.324834349565208e-05,-4.633607986271957
0,76,2.2214895579963923e-05,-4.653355723798399
0,77,2.2201624233275652e-05,-4.6536152521374
0,78,2.1435029339045286e-05,-4.6688759177154315
0,79,2.056756056845188e-05,-4.686817215086277
0,80,2.0498293451964855e-05,-4.6882822938342565
0,81,2.0053936168551445e-05,-4.697800371746768
0,82,2.0000908989459276e-05,-4.698950266329243
0,83,1.9759871065616608e-05,-4.704215893537556
0,84,1.9377795979380608e-05,-4.712695620908902
0,85,1.9206199795007706e-05,-4.7165585576435225
