step,gap_index,gap,log_gap
0,181,3.2772659324109554e-06,-5.484488316538681
0,182,3.2421667128801346e-06,-5.4891646574016315
0,183,3.2355310395359993e-06,-5.490054429488955
0,184,3.173365257680416e-06,-5.49847993727068
0,185,3.055902197957039e-06,-5.514860549169404
0,186,3.0347146093845367e-06,-5.5178821445878175
0,187,2.995016984641552e-06,-5.523600710398147
0,188,2.9780203476548195e-06,-5.526072339208417
0,189,2.968474291265011e-06,-5.52746670796753
0,190,2.943736035376787e-06,-5.53110113574722
0,191,2.9049115255475044e-06,-5.536867090313802
0,192,2.8465292416512966e-06,-5.5456843504357565
0,193,2.830289304256439e-06,-5.548169169839493
0,194,2.605607733130455e-06,-5.5840909655074675
0,195,2.562999725341797e-06,-5.591251440355962
0,196,2.522778231650591e-06,-5.59812092506845
0,197,2.2705644369125366e-06,-5.643866168637072
0,198,2.1492596715688705e-06,-5.667711110280277
0,199,2.1091545931994915e-06,-5.675891586921064
0,200,1.99707574211061e-06,-5.699605463543472
10,1,0.02930015284800902,-1.5331301140870597
10,2,0.029009878868237138,-1.537454084605334
10,3,0.00043373554944992065,-3.362774981131796
10,4,0.00015890412032604218,-3.798864841548669
10,5,0.00014283416385295995,-3.845167903216275
10,6,0.00012782588601112366,-3.8933811883263747
10,7,0.00011879764497280121,-3.92519216866
10,8,0.00010612234473228455,-3.9741931630145944
10,9,0.00010313652455806732,-3.986587507316391
10,10,8.788704872131348e-05,-4.0560751190477315
10,11,8.65062465891242e-05,-4.062952531133594
10,12,8.608985626779031e-05,-4.065048017262379
10,13,8.336268365383148e-05,-4.079028312791071
10,14,8.292123675346375e-05,-4.081334229115571
10,15,7.907673716545105e-05,-4.1019512586840365
10,16,7.075350731611252e-05,-4.150252026895122
10,17,6.827712059020996e-05,-4.165724802410132
10,18,6.805546581745148e-05,-4.167136989064145
10,19,6.783939898014069e-05,-4.168518008345162
10,20,6.445462349802256e-05,-4.190745924118826
10,21,6.42421655356884e-05,-4.192179827873392
10,22,6.401166319847107e-05,-4.193740888496534
10,23,6.009824573993683e-05,-4.221138204812311
10,24,4.9733323976397514e-05,-4.303352513292114
10,25,4.909493145532906e-05,-4.308963341983053
10,26,4.70588420284912e-05,-4.327358763662842
10,27,4.519690992310643e-05,-4.344891256543006
10,28,4.388042725622654e-05,-4.357729152425535
10,29,4.267191980034113e-05,-4.3698578178873735
10,30,4.141311364946887e-05,-4.382862115792057
10,31,4.10319771617651e-05,-4.386877555668812
10,32,4.097609780728817e-05,-4.387469402241644
