step,loss,top_k_dominant_space,hessian_compute_time,max_eigenvalue,min_eigenvalue,condition_number,eigenvalue_sum,eigenvalue_mean,max_gap,gap_mean
0,0.04950350895524025,10,325.59276819229126,0.10289065539836884,0.0011367584811523557,90.5123270283996,3.6888889494584873,0.018444444747292437,0.026733441278338432,0.0009931705943017732
10,0.03799262270331383,5951,344.67371702194214,0.12318366020917892,0.007143380586057901,17.24444872076433,6.013859571889043,0.030069297859445215,0.031394973397254944,0.0012695950683701085
20,0.004754532128572464,1,321.1830072402954,0.8591955304145813,0.0032571854535490274,263.78465170854867,4.2522579410579056,0.021261289705289527,0.6054829061031342,0.004388338149728952
30,0.0031758707482367754,1,343.09221363067627,0.8884479999542236,0.001074996660463512,826.4658232251129,3.3748897971818224,0.01687444898590911,0.6299328505992889,0.0044835872046314765
40,0.0028025133069604635,1,323.40062260627747,0.8964841961860657,0.0005416483036242425,1655.1038564831974,3.308631021005567,0.016543155105027837,0.6385138034820557,0.004521370804504841
50,0.002495019929483533,1,342.551638841629,0.9052764177322388,0.0005370231810957193,1685.7306157345968,3.283259335265029,0.016416296676325146,0.649003654718399,0.00456262300722301
60,0.0022252227645367384,1,326.8261842727661,0.9150764346122742,0.0005462971748784184,1675.052474536281,3.2595348468748853,0.016297674234374428,0.6612861454486847,0.004609095108462497
70,0.001984622795134783,1,346.287522315979,0.9259035587310791,0.000556146027520299,1664.856913317221,3.2368034815299325,0.016184017407649662,0.6751573979854584,0.004660921916292864
80,0.0017682103207334876,1,343.6933364868164,0.9377692341804504,0.0005629807710647583,1665.7216060983035,3.2149302430916578,0.01607465121545829,0.6904538720846176,0.004718117033662566
90,0.0015729382866993546,1,334.7419345378876,0.9506585001945496,0.0005647955695167184,1683.1904347408472,3.1939891498186626,0.015969945749093314,0.7070152759552002,0.004780551952899259
100,0.0013969277497380972,1,357.05214834213257,0.9645131230354309,0.0005603895406238735,1721.147618068768,3.1741695706150495,0.015870847853075246,0.7246595770120621,0.004847891756871832
110,0.001238965312950313,1,342.67500162124634,0.9792207479476929,0.0005491692572832108,1783.0946196660482,3.1556669306592084,0.015778334653296044,0.7431685477495193,0.004919502433840535
120,0.0010981500381603837,1,348.3317663669586,0.9946098923683167,0.0005311481072567403,1872.5660108350032,3.1386864418163896,0.015693432209081946,0.762282058596611,0.0049946613321662885
130,0.0009736590436659753,1,357.6904537677765,1.0104557275772095,0.0005068689351901412,1993.5246716158651,3.1233770583639853,0.015616885291819926,0.7817039489746094,0.005072128318461182
140,0.0008645948837511241,1,368.58028650283813,1.0264939069747925,0.0004773488035425544,2150.406368166969,3.1098223779699765,0.015549111889849882,0.8011161684989929,0.005150630707576056
150,0.0007699152338318527,1,353.7122733592987,1.0424412488937378,0.000443942379206419,2348.14538489698,3.0980962212197483,0.015490481106098741,0.8201993852853775,0.005228775723917351
160,0.0006884214235469699,1,325.2131426334381,1.0580204725265503,0.0004081789229530841,2592.05072342297,3.0880685795564204,0.015440342897782101,0.8386563062667847,0.005305124030601291
170,0.0006187905091792345,1,350.0160677433014,1.0729840993881226,0.00037153990706428885,2887.937685796052,3.0795275003183633,0.015397637501591817,0.8562331348657608,0.005378504970176437
180,0.0005596331902779639,1,322.10134649276733,1.0871303081512451,0.00033929626806639135,3204.073874277103,3.0723956504371017,0.015361978252185509,0.8727330565452576,0.005447941289312439
190,0.0005095600499771535,1,339.35773253440857,1.1003135442733765,0.00032761157490313053,3358.5917854053887,3.0664543861348648,0.015332271930674324,0.8880235403776169,0.005512696737605438
200,0.0004672379873227328,1,327.7376911640167,1.1124463081359863,0.0002944332954939455,3778.26259856152,3.0614730207889806,0.015307365103944903,0.9020354300737381,0.0055723094840504925
210,0.0004314366669859737,1,358.85482931137085,1.123494029045105,0.000263400113908574,4265.351340869462,3.0572746178950183,0.015286373089475091,0.9147554039955139,0.00562656954924023
220,0.00040105762309394777,1,324.69365429878235,1.1334662437438965,0.0002355645556235686,4811.701152337926,3.0537272668007063,0.015268636334003532,0.9262152165174484,0.005675618135064724
230,0.00037514761788770556,1,338.1747763156891,1.1424058675765991,0.00021091621601954103,5416.396563224694,3.050723194202874,0.01525361597101437,0.9364797621965408,0.005719628225378983
240,0.00035289881634525955,1,321.10610365867615,1.1503794193267822,0.00018931635713670403,6076.492473897019,3.0481565812951885,0.015240782906475943,0.9456363618373871,0.005758868242010067
250,0.00033364069531671703,1,335.1860978603363,1.1574668884277344,0.00017053737246897072,6787.174398610695,3.045928523875773,0.015229642619378864,0.9537840485572815,0.005793782723731056
260,0.00031682688859291375,1,335.93579053878784,1.1637545824050903,0.00015431750216521323,7541.300021556646,3.04397765910835,0.01521988829554175,0.9610262364149094,0.005824772796604521
270,0.0003020146978087723,1,322.11448407173157,1.1693294048309326,0.00014037304208613932,8330.15647059482,3.042223186319461,0.015211115931597305,0.9674648493528366,0.005852234953640618
280,0.0002888499293476343,1,344.7064368724823,1.1742750406265259,0.00012841550051234663,9144.340332292082,3.040617084960104,0.01520308542480052,0.9731967598199844,0.0058766294501356245
290,0.0002770516148302704,1,318.3903965950012,1.1786695718765259,0.00012593089195434004,9359.653962459723,3.039135536761023,0.015195677683805116,0.9783112555742264,0.00589827654457622
300,0.0002663946070242673,1,348.9787197113037,1.1825836896896362,0.0001249612687388435,9463.601815384232,3.0377051401737845,0.015188525700868922,0.982888787984848,0.005917599170657013
310,0.00025670192553661764,1,323.4130039215088,1.1860811710357666,0.00012397007958497852,9567.47930634937,3.036308705646661,0.015181543528233305,0.9870012700557709,0.0059348454106475405
320,0.00024783029220998287,1,343.52602100372314,1.1892175674438477,0.00012135103315813467,9799.81411360674,3.034960264172696,0.01517480132086348,0.9907111972570419,0.005950313044099858
330,0.00023966490698512644,1,323.3566937446594,1.1920417547225952,0.00011398188507882878,10458.1684528045,3.033700138439599,0.015168500692197995,0.994073286652565,0.005964243360813271
340,0.00023211355437524617,1,344.0104694366455,1.1945964097976685,0.00010745512554422021,11117.165456254248,3.032440393588331,0.015162201967941656,0.9971350878477097,0.005976843113894574
350,0.00022509995324071497,1,325.6071808338165,1.196916937828064,0.00010168537846766412,11770.787067569234,3.0311785609374056,0.015155892804687028,0.9999361932277679,0.005988280478550223
360,0.00021856235980521888,1,354.9048218727112,1.1990351676940918,9.737319487612695e-05,12313.8115085927,3.0299130073108245,0.015149565036554123,1.0025118440389633,0.005998723575835356
370,0.00021244787785690278,1,320.9057159423828,1.2009774446487427,9.466834308113903e-05,12686.156803435339,3.0286439095725655,0.015143219547862827,1.004891261458397,0.006008310368688399
380,0.0002067131717922166,1,358.2081787586212,1.2027668952941895,9.243455133400857e-05,13012.092101232136,3.027371919240977,0.015136859596204887,1.007099986076355,0.006017120790684203
390,0.0002013209741562605,1,326.3524913787842,1.2044228315353394,9.07317953533493e-05,13274.539832974648,3.026100186711119,0.015130500933555596,1.0091593265533447,0.006025298255324287
400,0.00019623916887212545,1,320.5563588142395,1.205960988998413,8.941641135606915e-05,13487.020678967992,3.0248283862965764,0.015124141931482881,1.0110868960618973,0.006032891728616505
410,0.00019144003454130143,1,340.32971453666687,1.2073959112167358,8.814207831164822e-05,13698.29183001208,3.0235602791435667,0.015117801395717834,1.0128986239433289,0.006039944062911218
420,0.00018689947319217026,1,314.2199513912201,1.2087392807006836,8.683831401867792e-05,13919.423636445748,3.022297816860373,0.015111489084301866,1.0146074444055557,0.00604657149855484
430,0.00018259625358041376,1,339.1817865371704,1.2100021839141846,8.566401083953679e-05,14124.977012583777,3.0210445113189053,0.015105222556594527,1.0162253826856613,0.006052786170198487
440,0.00017851109441835433,1,315.01988196372986,1.2111923694610596,8.50597134558484e-05,14239.318712139187,3.019800327172561,0.015099001635862806,1.01776123046875,0.0060586474709702996
450,0.0001746270718285814,1,334.22856545448303,1.212317943572998,8.401497325394303e-05,14429.784318429227,3.0185691798615153,0.015092845899307577,1.0192237198352814,0.006064203970790914
460,0.00017092953203245997,1,314.12645649909973,1.2133848667144775,8.290906407637522e-05,14635.129225397073,3.0173499296288355,0.015086749648144177,1.020619586110115,0.006069468065306865
470,0.00016740440332796425,1,312.8014409542084,1.2143993377685547,8.184963371604681e-05,14836.955067893834,3.016144894703757,0.015080724473518785,1.0219555348157883,0.006074465116121246
480,0.00016403936024289578,1,336.1159653663635,1.2153657674789429,8.084920409601182e-05,15032.501322284448,3.0149543633087887,0.015074771816543944,1.0232364684343338,0.006079219867217489
490,0.00016082350339274853,1,314.1078083515167,1.2162889242172241,7.990522135514766e-05,15221.645138948961,3.013779354543658,0.01506889677271829,1.024467572569847,0.006083758176087031
