step,loss,top_k_dominant_space,hessian_compute_time,max_eigenvalue,min_eigenvalue,condition_number,eigenvalue_sum,eigenvalue_mean,max_gap,gap_mean
0,0.2512452304363251,10,211.5520725250244,0.20359757542610168,0.0042152707464993,48.29999961335473,7.6469435803592205,0.038234717901796104,0.053209759294986725,0.0020348009577719497
10,0.061542730778455734,1,211.00311732292175,2.838353157043457,0.004919170401990414,576.9983401865875,12.967558836564422,0.06483779418282211,2.1200764775276184,0.014461931375553832
20,0.06638796627521515,1,211.11379265785217,4.686625003814697,0.004946897272020578,947.3867650986066,35.036858775652945,0.17518429387826473,3.6649422645568848,0.02468400592217222
30,0.09080729633569717,1,211.3664116859436,3.7136120796203613,0.004825834650546312,769.5274182674201,22.296321488916874,0.11148160744458437,2.8283150792121887,0.019194002200383694
40,0.06910232454538345,1,211.21751236915588,4.617542266845703,0.004859370645135641,950.234629965505,34.44859107630327,0.17224295538151638,3.565066695213318,0.024305450301617383
50,0.09380687773227692,1,211.15134286880493,3.461561441421509,0.004996597766876221,692.7836906082621,19.250435262918472,0.09625217631459236,2.571398973464966,0.017781588145298885
60,0.05477066710591316,1,211.10449147224426,4.456260681152344,0.005482821725308895,812.7677506970708,32.58529217261821,0.16292646086309104,3.3621824979782104,0.023412751756841318
70,0.08543970435857773,1,210.8880434036255,3.8511576652526855,0.005792358890175819,664.8686205864203,24.671083143446594,0.12335541571723298,2.8082422018051147,0.019992025718674995
80,0.06490550190210342,1,211.03687357902527,4.623030662536621,0.006454038433730602,716.3004543597657,35.23925111629069,0.17619625558145344,3.359934687614441,0.024390330307651312
90,0.09032890200614929,1,210.9309697151184,3.431281328201294,0.007250995375216007,473.21521400075034,19.574779358226806,0.09787389679113404,2.2754857540130615,0.01762002614384983
100,0.051876988261938095,1,211.03575897216797,4.559384822845459,0.00847947783768177,537.6964136381259,35.04456271789968,0.1752228135894984,2.97080135345459,0.024053734680637717
110,0.07953700423240662,1,210.99491333961487,3.7536191940307617,0.009235433302819729,406.436717255564,24.745464731939137,0.12372732365969569,2.012428045272827,0.019457277440233157
120,0.055418502539396286,1,210.99387502670288,4.603418827056885,0.009198122657835484,500.47373777250414,37.07571000419557,0.18537855002097786,2.143240451812744,0.024332324601127765
130,0.07722689211368561,2,210.79029774665833,3.4785661697387695,0.009199194610118866,378.13812156038534,22.79271726310253,0.11396358631551266,0.9850126504898071,0.017901805812725796
140,0.0360262356698513,1,211.14093041419983,4.4374918937683105,0.010139264166355133,437.6542341694902,36.645720494911075,0.18322860247455539,1.3212156295776367,0.02337338266079314
150,0.06557246297597885,3,210.92257022857666,3.761875867843628,0.010290725156664848,365.5598425352199,28.422654083929956,0.14211327041964977,1.729303777217865,0.01947337522986345
160,0.042358480393886566,3,211.04360151290894,4.583367824554443,0.00983609538525343,465.97431653885405,40.64991454500705,0.20324957272503524,2.216770887374878,0.024145341567927973
170,0.06323101371526718,3,213.07821416854858,3.4965336322784424,0.009070065803825855,385.5025650203734,30.959345621988177,0.15479672810994088,1.517263948917389,0.018453058443265037
180,0.02276078797876835,3,216.27701878547668,2.414480447769165,0.010969906114041805,220.10037484993225,15.375318387523293,0.07687659193761646,0.8589907288551331,0.012336761949118227
190,0.03334008902311325,2,214.46396684646606,1.5203344821929932,0.00887751579284668,171.256747683631,28.199927147477865,0.14099963573738933,1.024360865354538,0.00922299684258178
200,0.022503260523080826,3,214.57141757011414,1.8134069442749023,0.010318889282643795,175.73664128028037,23.845276991836727,0.11922638495918364,0.6998036801815033,0.010035598219837993
210,0.031822945922613144,2,215.1304953098297,1.6937981843948364,0.008876143023371696,190.82592291887488,28.671685460954905,0.14335842730477452,1.1387052536010742,0.010061217169859447
220,0.022731643170118332,2,215.08853101730347,1.8881192207336426,0.011240473948419094,167.9750542012684,25.242005057632923,0.1262100252881646,0.8029187917709351,0.010510054489132017
230,0.02904648892581463,2,215.5666606426239,1.7774806022644043,0.009484677575528622,187.40548512165293,28.55554722622037,0.14277773613110184,1.1991312503814697,0.010395467974012718
240,0.021474236622452736,2,215.9884066581726,1.9778776168823242,0.01180771179497242,167.50727416335488,25.103138244710863,0.12551569122355433,0.8317639827728271,0.0109002461633645
250,0.03044087253510952,2,216.6647002696991,1.791558861732483,0.009449733421206474,189.58829650283928,29.315165328793228,0.14657582664396615,1.1642470359802246,0.010571671677753329
260,0.020671812817454338,2,217.0209403038025,2.1138882637023926,0.0121635552495718,173.7886843385538,25.52295702882111,0.12761478514410554,0.7535691261291504,0.01153763845562935
270,0.027290916070342064,2,217.93488311767578,1.8402701616287231,0.011882645078003407,154.870413914436,28.323803951963782,0.14161901975981891,1.0475527048110962,0.010606419350369833
280,0.01883232407271862,3,218.37399983406067,1.9177584648132324,0.012265541590750217,156.35334572257835,23.838408439420164,0.11919204219710082,0.5140572786331177,0.010455893415492029
290,0.02716522477567196,2,218.78852534294128,1.6658439636230469,0.011861861683428288,140.43697423569927,29.571071685291827,0.14785535842645914,0.8318840861320496,0.009964506065589376
300,0.01683465950191021,2,219.1623227596283,1.8607780933380127,0.013464334420859814,138.20052556442565,23.933708867058158,0.11966854433529078,0.5188096761703491,0.01015855825971812
310,0.0265189316123724,2,219.8866422176361,1.666151762008667,0.013469606637954712,123.69713584016462,30.033337621949613,0.15016668810974806,0.6569921970367432,0.009984627172816545
320,0.015130887739360332,4,219.84781503677368,1.9224553108215332,0.015191664919257164,126.54671631050803,23.966145550832152,0.11983072775416076,0.5558185577392578,0.010406522356206552
330,0.026564821600914,3,220.00426983833313,1.6865558624267578,0.014261973090469837,118.25543714941878,30.791550694033504,0.15395775347016752,0.5112980604171753,0.010150016312254593
340,0.015411049127578735,5,221.20291996002197,1.8920310735702515,0.015983272343873978,118.37570134975668,25.82487984187901,0.12912439920939506,0.41793572902679443,0.010405608237488196
350,0.025035971775650978,3,218.6848382949829,1.7053807973861694,0.01682896725833416,101.33603394715851,31.258612355217338,0.15629306177608668,0.5193222761154175,0.010252190567553044
360,0.011929208412766457,5,219.0043430328369,2.139845609664917,0.017382968217134476,123.10012783407501,21.851924560964108,0.10925962280482054,0.6121772527694702,0.011160736804595218
370,0.015347281470894814,5,219.47277927398682,1.8638945817947388,0.01789412461221218,104.16237855651731,27.809072406962514,0.13904536203481258,0.5544891655445099,0.010416179709136487
380,0.018411265686154366,4,219.93279886245728,1.8088204860687256,0.01843736506998539,98.10623585326441,30.31771295517683,0.15158856477588414,0.46753960847854614,0.010429378428380005
390,0.018750065937638283,4,219.70488142967224,1.7955975532531738,0.01833397150039673,97.93827557844294,30.183066349476576,0.1509153317473829,0.6316501498222351,0.010348521770210936
400,0.02222137339413166,4,219.72233176231384,1.7457947731018066,0.019270125776529312,90.59591999280852,31.857981154695153,0.15928990577347577,0.8621677458286285,0.010341423865174875
410,0.012861504219472408,5,221.49095678329468,1.9804574251174927,0.020515281707048416,96.53571680846424,27.200523648411036,0.13600261824205517,0.7911472916603088,0.010767220298876055
420,0.016911480575799942,4,221.49885773658752,1.7801998853683472,0.019617659971117973,90.74476201490084,30.200538190081716,0.15100269095040858,0.7094548940658569,0.01015840508393012
430,0.02243831194937229,4,221.5585389137268,1.6643375158309937,0.019292261451482773,86.26969523591416,32.41646430641413,0.16208232153207064,0.983783483505249,0.010002459395327606
440,0.010243392549455166,5,222.2703766822815,1.922008991241455,0.02141210064291954,89.76274786364861,24.864494133740664,0.12432247066870332,1.0270413756370544,0.010262839646893554
450,0.01716582290828228,4,222.76577281951904,1.728676438331604,0.02054414339363575,84.14448853910943,30.889234580099583,0.15444617290049792,0.8643832802772522,0.01000946872343775
460,0.019264403730630875,4,218.75141882896423,1.6824198961257935,0.020887555554509163,80.54651927724477,31.480605760589242,0.1574030288029462,1.0339585840702057,0.009918313430971467
470,0.011404779739677906,5,222.76894640922546,1.9169367551803589,0.021602395921945572,88.73722906045666,27.215088253840804,0.136075441269204,0.8180879354476929,0.010428903523716145
480,0.015218411572277546,4,220.56996870040894,1.7712663412094116,0.021078746765851974,84.03091326467764,29.86872912570834,0.14934364562854172,0.8185639977455139,0.01006817523855716
490,0.018546883016824722,4,222.47914218902588,1.7178415060043335,0.021482376381754875,79.96515261986136,32.05507658608258,0.16027538293041288,1.0436788499355316,0.010143191900569946
500,0.012122302316129208,4,225.634512424469,1.852826714515686,0.021528538316488266,86.06374883782259,28.19277843274176,0.1409638921637088,0.6074701547622681,0.010253662748727948
