step,loss,top_k_dominant_space,hessian_compute_time,max_eigenvalue,min_eigenvalue,condition_number,eigenvalue_sum,eigenvalue_mean,max_gap,gap_mean
0,0.04950350895524025,10,216.45336937904358,0.10355536639690399,0.00035545125138014555,291.33493269420035,3.6421334384940565,0.018210667192470283,0.02794978953897953,0.0009959566919496864
10,0.03776264190673828,4918,214.41074013710022,0.12104994803667068,0.0004853717109654099,249.39638075713344,5.716725056554424,0.02858362528277212,0.027830205857753754,0.0012192085015703925
20,0.00487350020557642,1,235.78282809257507,0.7643623352050781,0.0027579073794186115,277.15301134087093,4.089530584635213,0.020447652923176064,0.5258008986711502,0.003919215747228009
30,0.0032077599316835403,1,216.69845533370972,0.7980735898017883,0.000992117915302515,804.4140494715701,3.196129687014036,0.015980648435070178,0.5537740737199783,0.004030638970070868
40,0.0028380160219967365,1,216.21789646148682,0.8049742579460144,0.0004250491037964821,1893.8382665816523,3.112954930664273,0.015564774653321366,0.561294212937355,0.004062813927230308
50,0.0025336898397654295,1,231.6360161304474,0.8123710751533508,0.00041617368697188795,1952.0000917506964,3.088396847975673,0.015441984239878366,0.5703837275505066,0.004097333906502172
60,0.002264718059450388,1,213.88986086845398,0.8205985426902771,0.0004200437688268721,1953.6024661956126,3.064908073807601,0.015324540369038004,0.5810364633798599,0.004136066931605456
70,0.0020235658157616854,1,229.06638050079346,0.8296944499015808,0.00043354241643100977,1913.7561134888663,3.041749304276891,0.015208746521384455,0.5930913388729095,0.004179386180094297
80,0.0018057769630104303,1,216.72911667823792,0.8396857976913452,0.00044227251783013344,1898.5710480293712,3.0188737657445017,0.01509436882872251,0.6064169257879257,0.00422729872756463
90,0.00160860491450876,1,213.36801314353943,0.8505784273147583,0.00044215741218067706,1923.7004828660201,2.9964352381939534,0.014982176190969768,0.6208850592374802,0.004279849244303477
100,0.0014303418574854732,1,228.84003257751465,0.8623426556587219,0.00044554288615472615,1935.487429955848,2.974700489314273,0.014873502446571365,0.6363502144813538,0.004336792440626596
110,0.001269879168830812,1,220.06747364997864,0.874903678894043,0.00043983114301227033,1989.1808317666926,2.9539476261707023,0.014769738130853511,0.6526371240615845,0.00439775174629176
120,0.0011263916967436671,1,214.68644785881042,0.8881340026855469,0.0004325671761762351,2053.1701238554133,2.934466266189702,0.014672331330948508,0.6695331335067749,0.004462179392376129
130,0.0009991208789870143,1,234.29127073287964,0.9018601179122925,0.00042006070725619793,2146.975668834081,2.9164922541822307,0.014582461270911153,0.6867948472499847,0.004529065435845041
140,0.0008872309699654579,1,215.74341750144958,0.9158667922019958,0.0003999431792180985,2289.992278384505,2.900169700180413,0.014500848500902067,0.704153522849083,0.004597435169753226
