step,gap_index,gap,log_gap
0,1,0.2002082709223032,-0.6985179850898692
0,2,0.17171092191711068,-0.7652020800430631
0,3,0.018190830945968628,-1.7401474621785984
0,4,0.006169319152832031,-2.2097627621391354
0,5,0.005968267563730478,-2.22415171521921
0,6,0.004173174500465393,-2.3795334549708387
0,7,0.003934681415557861,-2.4050904259647528
0,8,0.0038637369871139526,-2.412992444609744
0,9,0.0033591389656066895,-2.473772029278973
0,10,0.002913832664489746,-2.535535392502686
0,11,0.002572491765022278,-2.5896460068128015
0,12,0.002449437975883484,-2.610933553175435
0,13,0.0022596418857574463,-2.6459603835795713
0,14,0.0020599365234375,-2.686146162128693
0,15,0.001900702714920044,-2.721085804947345
0,16,0.001629367470741272,-2.7879809583448716
0,17,0.0015435665845870972,-2.811474631685581
0,18,0.0014333277940750122,-2.843654477517265
0,19,0.001275673508644104,-2.894260463183631
0,20,0.0012499988079071045,-2.9030904011676344
0,21,0.001171410083770752,-2.9312910417839464
0,22,0.0010778466239571571,-2.967443034240299
0,23,0.0009845942258834839,-3.006742715459763
0,24,0.0005628615617752075,-3.2495984086126963
0,25,0.00034242309629917145,-3.4654369500200155
0,26,0.00027290964499115944,-3.5639811155121506
0,27,0.00026126671582460403,-3.582915913864059
0,28,0.0002304287627339363,-3.6374633120674473
0,29,0.0002027386799454689,-3.693063385572865
0,30,0.00020053377375006676,-3.69781247332783
0,31,0.00016782782040536404,-3.775136045610678
0,32,0.0001598044764250517,-3.7964110594433693
0,33,0.00015875604003667831,-3.7992697425418203
0,34,0.00014353543519973755,-3.8430408695784726
0,35,0.00013482384383678436,-3.870233295256063
0,36,0.00012847338803112507,-3.891186822746345
0,37,0.00011893641203641891,-3.924685167033042
0,38,0.00011818739585578442,-3.9274288365017624
0,39,0.00011591613292694092,-3.9358561157744973
0,40,0.00011465058196336031,-3.9406237364609975
0,41,0.00011277454905211926,-3.947788900825843
0,42,0.00011140480637550354,-3.9530960718433477
0,43,0.00010349910007789731,-3.985063426370372
0,44,0.00010007107630372047,-3.999691429182381
0,45,9.309302549809217e-05,-4.03108285501388
0,46,8.718937169760466e-05,-4.059536451929847
0,47,7.656670641154051e-05,-4.115960034087437
0,48,7.576704956591129e-05,-4.120519624222027
0,49,7.263186853379011e-05,-4.138872782997136
0,50,6.948085501790047e-05,-4.1581348458485525
0,51,6.897537969052792e-05,-4.16130590017031
0,52,6.831152131780982e-05,-4.16550604269077
0,53,6.52336748316884e-05,-4.18552815552365
0,54,6.510200910270214e-05,-4.186405608532372
0,55,6.504426710307598e-05,-4.186790975431652
0,56,6.403494626283646e-05,-4.193582950593615
0,57,6.327545270323753e-05,-4.198764739005509
0,58,6.284518167376518e-05,-4.201728013963899
0,59,6.202515214681625e-05,-4.207432161736258
0,60,6.1034224927425385e-05,-4.214426566154186
0,61,5.666131619364023e-05,-4.246713341411135
0,62,5.4437085054814816e-05,-4.264105138033401
0,63,5.2658142521977425e-05,-4.278534464384585
0,64,4.847627133131027e-05,-4.314470792358951
0,65,4.790141247212887e-05,-4.319651680326413
0,66,4.6949018724262714e-05,-4.328373480439223
0,67,4.642707062885165e-05,-4.333228717795383
0,68,4.40436415374279e-05,-4.356116780657837
0,69,4.3700216338038445e-05,-4.359516413048256
0,70,4.3615465983748436e-05,-4.360359483199857
0,71,4.268565680831671e-05,-4.369718031659831
0,72,4.2446423321962357e-05,-4.372158898988413
0,73,4.216357774566859e-05,-4.375062544634295
0,74,4.18925192207098e-05,-4.377863522408994
0,75,4.1264574974775314e-05,-4.38442262376584
0,76,4.0477607399225235e-05,-4.392785166228121
0,77,3.9886217564344406e-05,-4.39917714616245
0,78,3.899168223142624e-05,-4.409028027493072
0,79,3.857931005768478e-05,-4.413645543431887
0,80,3.7932622944936156e-05,-4.420987125893909
0,81,3.665392432594672e-05,-4.43587952110839
0,82,3.653462044894695e-05,-4.437295400096078
0,83,3.634137101471424e-05,-4.4395986925234885
0,84,3.6179611925035715e-05,-4.441536095843244
0,85,3.527337685227394e-05,-4.452552961707405
0,86,3.5060918889939785e-05,-4.45517670593758
0,87,3.481004387140274e-05,-4.458295429370232
0,88,3.446778282523155e-05,-4.462586652122562
0,89,3.4129086998291314e-05,-4.466875329562194
0,90,3.364012809470296e-05,-4.473142359166731
0,91,3.347441088408232e-05,-4.475287057394179
0,92,3.319885581731796e-05,-4.478876883789575
0,93,3.2779760658741e-05,-4.484394221752938
0,94,3.0655646696686745e-05,-4.513489517773899
0,95,3.035692498087883e-05,-4.517742222614238
0,96,3.0202441848814487e-05,-4.519957943182089
0,97,2.962931466748137e-05,-4.528278393729982
0,98,2.915330696851015e-05,-4.535312174465308
0,99,2.867891453206539e-05,-4.542437290300452
0,100,2.8590322472155094e-05,-4.543780946177943
0,101,2.837623469531536e-05,-4.547045232540805
0,102,2.7934671379625797e-05,-4.5538564332658575
0,103,2.7686794055625796e-05,-4.557727329720614
0,104,2.665421925485134e-05,-4.574234034139797
0,105,2.5438552256673574e-05,-4.594507608622247
0,106,2.5315675884485245e-05,-4.59661047321556
0,107,2.5043089408427477e-05,-4.601312095977996
0,108,2.5012181140482426e-05,-4.601848434779987
0,109,2.4575740098953247e-05,-4.609493394511021
0,110,2.4388893507421017e-05,-4.6128079026187
0,111,2.4372071493417025e-05,-4.61310755657945
0,112,2.4220149498432875e-05,-4.615823180509892
0,113,2.336240140721202e-05,-4.631482518396167
0,114,2.3025088012218475e-05,-4.637798701059549
0,115,2.2755644749850035e-05,-4.642910854847319
0,116,2.237752778455615e-05,-4.650187894967248
0,117,2.1986954379826784e-05,-4.657834924692894
0,118,2.1809100871905684e-05,-4.661362238796316
0,119,2.143392339348793e-05,-4.66889832582304
0,120,2.082553692162037e-05,-4.681403792845978
0,121,2.0792940631508827e-05,-4.682084086439252
0,122,2.077722456306219e-05,-4.682412466280748
0,123,1.968839205801487e-05,-4.705789751045545
0,124,1.9551662262529135e-05,-4.708816313421315
0,125,1.9512146536726505e-05,-4.709694951119257
0,126,1.9258528482168913e-05,-4.715376899791378
0,127,1.909327693283558e-05,-4.71911952830016
0,128,1.889580744318664e-05,-4.723634545364958
0,129,1.8583261407911777e-05,-4.73087806390749
0,130,1.759338192641735e-05,-4.754650669308589
0,131,1.741910818964243e-05,-4.758974083440387
0,132,1.718424027785659e-05,-4.764869663435282
0,133,1.6867357771843672e-05,-4.77295294319513
0,134,1.6677018720656633e-05,-4.777881583727638
0,135,1.665146555751562e-05,-4.7785475366002155
0,136,1.6592559404671192e-05,-4.780086618822294
0,137,1.658144174143672e-05,-4.780377710629633
0,138,1.5881378203630447e-05,-4.799111811716251
0,139,1.5520898159593344e-05,-4.809083150702255
0,140,1.4598546840716153e-05,-4.835690372329775
0,141,1.4505465514957905e-05,-4.83846832909273
0,142,1.4489400200545788e-05,-4.838949592098509
0,143,1.4277349691838026e-05,-4.845352403276582
0,144,1.4209043001756072e-05,-4.847435171407679
0,145,1.413992140442133e-05,-4.849553004522216
0,146,1.397659070789814e-05,-4.8545987525758365
0,147,1.3899640180170536e-05,-4.856996442176772
0,148,1.382920891046524e-05,-4.8592026626706
